acceleration,angular_velocity
-0.0141805,-7.57583e-06
-0.014152,-6.89207e-06
-0.0141235,-6.26352e-06
-0.0140951,-5.68611e-06
-0.0140667,-5.1562e-06
-0.0140384,-4.67028e-06
-0.0140101,-4.22513e-06
-0.0139819,-3.8177e-06
-0.0139538,-3.44516e-06
-0.0139257,-3.10485e-06
-0.0138977,-2.9013e-06
-0.0138697,-2.92013e-06
-0.0138418,-2.68274e-06
-0.013814,-2.52732e-06
-0.0137862,-2.29444e-06
-0.0137584,-2.09964e-06
-0.0137308,-1.88929e-06
-0.0137031,-1.70249e-06
-0.0136755,-1.5207e-06
-0.013648,-1.35669e-06
-0.0136206,-1.20356e-06
-0.0135931,-1.06505e-06
-0.0135658,-9.38173e-07
-0.0135385,-8.2358e-07
-0.0135113,-2.64491e-06
-0.0134841,-2.81298e-06
-0.013457,-3.40979e-06
-0.0134299,-3.38551e-06
-0.0134029,-3.15193e-06
-0.0133759,-2.87181e-06
-0.013349,-2.5666e-06
-0.0133221,-2.26226e-06
-0.0132953,-1.96777e-06
-0.0132686,-1.34278e-06
-0.0132419,-9.37851e-07
-0.0132152,-5.63929e-07
-0.0131886,-1.12837e-07
-0.0131621,2.5762e-07
-0.0131356,1.41911e-07
-0.0131092,3.00368e-07
-0.0130828,2.82469e-07
-0.0130565,3.5307e-07
-0.0130302,3.55854e-07
-0.013004,3.84139e-07
-0.0129778,3.84187e-07
-0.0129517,3.89427e-07
-0.0129256,3.81747e-07
-0.0128996,3.73466e-07
-0.0128737,3.58749e-07
-0.0128478,3.4236e-07
-0.0128219,3.22617e-07
-0.0127961,3.01506e-07
-0.0127704,2.7869e-07
-0.0127447,2.55083e-07
-0.012719,2.3074e-07
-0.0126934,2.06129e-07
-0.0126679,1.81385e-07
-0.0126424,1.56767e-07
-0.012617,1.32397e-07
-0.0125916,1.08427e-07
-0.0125662,8.4943e-08
-0.0125409,6.20334e-08
-0.0125157,3.97535e-08
-0.0124905,1.81503e-08
-0.0124654,-2.74669e-09
-0.0124403,-3.50744e-07
-0.0124153,-4.87562e-07
-0.0123903,-6.33892e-07
-0.0123654,-6.88405e-07
-0.0123405,-7.35004e-07
-0.0123157,-7.41011e-07
-0.0122909,-7.3921e-07
-0.0122662,-7.19838e-07
-0.0122415,-6.96104e-07
-0.0122168,-6.65517e-07
-0.0121923,-6.33551e-07
-0.0121677,-5.99798e-07
-0.0121432,-5.66558e-07
-0.0121188,-5.33886e-07
-0.0120944,-5.02724e-07
-0.0120701,-4.73141e-07
-0.0120458,-4.45483e-07
-0.0120215,-4.19744e-07
-0.0119974,-3.96e-07
-0.0119732,-3.74186e-07
-0.0119491,-3.70226e-07
-0.0119251,-3.67405e-07
-0.0119011,-3.57168e-07
-0.0118772,-3.47819e-07
-0.0118533,-3.35991e-07
-0.0118294,-3.24743e-07
-0.0118056,-3.12927e-07
-0.0117818,-3.01736e-07
-0.0117581,-2.90798e-07
-0.0117345,-2.80576e-07
-0.0117109,-2.70941e-07
-0.0116873,-2.62058e-07
-0.0116638,-2.53867e-07
-0.0116403,-2.46406e-07
-0.0116169,-2.39628e-07
-0.0115935,-2.33522e-07
-0.0115702,-2.28042e-07
-0.0115469,-2.23155e-07
-0.0115237,-2.18817e-07
-0.0115005,-2.1499e-07
-0.0114773,-2.11632e-07
-0.0114542,-2.08706e-07
-0.0114312,-2.06174e-07
-0.0114082,-2.04002e-07
-0.0113852,-2.02157e-07
-0.0113623,-2.00608e-07
-0.0113395,-1.99328e-07
-0.0113166,-1.98291e-07
-0.0112939,-1.97472e-07
-0.0112711,-1.96851e-07
-0.0112485,-1.96408e-07
-0.0112258,-1.96123e-07
-0.0112032,-1.95982e-07
-0.0111807,-1.95969e-07
-0.0111582,-1.96071e-07
-0.0111358,-1.96275e-07
-0.0111133,-1.96571e-07
-0.011091,-1.96948e-07
-0.0110687,-1.97399e-07
-0.0110464,-1.97914e-07
-0.0110242,-1.98488e-07
-0.011002,-1.99113e-07
-0.0109798,-1.99783e-07
-0.0109578,-2.00495e-07
-0.0109357,-1.55643e-07
-0.0109137,-5.01907e-08
-0.0108918,-3.9462e-08
-0.0108698,2.72668e-07
-0.010848,5.02273e-07
-0.0108261,5.80965e-07
-0.0108044,3.07899e-07
-0.0107826,3.20462e-07
-0.0107609,-3.84272e-07
-0.0107393,-7.42999e-07
-0.0107177,-9.73902e-07
-0.0106961,-1.06403e-06
-0.0106746,-1.10196e-06
-0.0106531,-1.0861e-06
-0.0106317,-1.05192e-06
-0.0106103,-9.99802e-07
-0.0105889,-9.43707e-07
-0.0105676,-8.83954e-07
