position_error,angular_error
0.54604,-4.5248e-05
0.53923,-4.30959e-05
0.532505,-4.10051e-05
0.525863,-3.89858e-05
0.519305,-3.70183e-05
0.512828,-3.50899e-05
0.506433,-3.32413e-05
0.500117,-3.14628e-05
0.493879,-2.97688e-05
0.48772,-2.8153e-05
0.481637,-2.66193e-05
0.47563,-2.51628e-05
0.469698,-2.37832e-05
0.46384,-2.24764e-05
0.458055,-2.12401e-05
0.452342,-2.00705e-05
0.446701,-1.89649e-05
0.44113,-1.79196e-05
0.435628,-1.69414e-05
0.430195,-1.60269e-05
0.424829,-1.51715e-05
0.419531,-1.43703e-05
0.414298,-1.36191e-05
0.409131,-1.29138e-05
0.404029,-1.2251e-05
0.39899,-1.16274e-05
0.394013,-1.10403e-05
0.389099,-1.04952e-05
0.384246,-9.99881e-06
0.379454,-9.54249e-06
0.374721,-9.1247e-06
0.370048,-8.73939e-06
0.365433,-8.38432e-06
0.360875,-8.05558e-06
0.356374,-7.75108e-06
0.351929,-7.46811e-06
0.34754,-7.20487e-06
0.343205,-6.95936e-06
0.338925,-6.73006e-06
0.334698,-6.51579e-06
0.330523,-6.31531e-06
0.326401,-6.12701e-06
0.32233,-5.94989e-06
0.31831,-5.78282e-06
0.31434,-5.62497e-06
0.31042,-5.4755e-06
0.306548,-5.33371e-06
0.302725,-5.19894e-06
0.298949,-5.07062e-06
0.295221,-4.94823e-06
0.291539,-4.8313e-06
0.287903,-4.71927e-06
0.284312,-4.61115e-06
0.280766,-4.50691e-06
0.277264,-4.40613e-06
0.273806,-4.3087e-06
0.270391,-4.21435e-06
0.267019,-4.12293e-06
0.263689,-4.03423e-06
0.2604,-3.94813e-06
0.257152,-3.86444e-06
0.253945,-3.78306e-06
0.250778,-3.70384e-06
0.24765,-3.62668e-06
0.244561,-3.55148e-06
0.241511,-3.47812e-06
0.238499,-3.40654e-06
0.235524,-3.33665e-06
0.232587,-3.26837e-06
0.229686,-3.20164e-06
0.226821,-3.1364e-06
0.223993,-3.07259e-06
0.221199,-3.01016e-06
0.21844,-2.94905e-06
0.215716,-2.88924e-06
0.213025,-2.83066e-06
0.210368,-2.77377e-06
0.207745,-2.71844e-06
0.205154,-2.66452e-06
0.202595,-2.6119e-06
0.200068,-2.56049e-06
0.197573,-2.51019e-06
0.195109,-2.46094e-06
0.192675,-2.41267e-06
0.190272,-2.36534e-06
0.187899,-2.31888e-06
0.185556,-2.27327e-06
0.183242,-2.22847e-06
