position_error,angular_error
3.05977,9.80253e-06
3.04356,8.94409e-06
3.02737,8.16094e-06
3.01122,7.44642e-06
2.9951,6.79454e-06
2.97901,6.19978e-06
2.96296,5.65716e-06
2.94693,5.16207e-06
2.93094,4.71037e-06
2.91498,4.29824e-06
2.89906,3.92221e-06
2.88316,3.57912e-06
2.8673,3.26607e-06
2.85147,2.98044e-06
2.83567,2.71982e-06
2.81991,2.48202e-06
2.80417,2.26504e-06
2.78847,2.06705e-06
2.7728,1.88638e-06
2.75716,1.72153e-06
2.74155,1.57111e-06
2.72597,1.43384e-06
2.71042,1.30859e-06
2.69491,1.19429e-06
2.67943,1.08998e-06
2.66397,9.94804e-07
2.64855,9.07947e-07
2.63316,8.28683e-07
2.6178,7.56349e-07
2.60247,6.90338e-07
2.58718,6.30097e-07
2.57191,5.7512e-07
2.55667,5.24947e-07
2.54147,4.79157e-07
2.52629,7.032e-07
2.51115,1.7085e-06
2.49604,3.04326e-06
2.48095,4.90278e-06
2.4659,7.06386e-06
2.45088,9.58855e-06
2.43589,1.23581e-05
2.42092,1.53803e-05
2.40599,1.85859e-05
2.39109,2.19625e-05
2.37622,2.54654e-05
2.36137,2.90761e-05
2.34656,3.27634e-05
2.33178,3.65085e-05
2.31703,4.02883e-05
2.3023,4.40857e-05
2.28761,4.78828e-05
2.27295,5.16652e-05
2.25831,5.54186e-05
2.24371,5.91311e-05
2.22913,6.27911e-05
2.21459,6.63891e-05
2.20007,6.99157e-05
2.18558,7.33632e-05
2.17112,7.67244e-05
2.1567,7.99927e-05
2.14229,8.31627e-05
2.12792,8.62291e-05
2.11358,8.91877e-05
2.09927,9.20345e-05
2.08498,9.47661e-05
2.07073,9.73794e-05
2.0565,9.9872e-05
2.0423,0.000102242
2.02813,0.000104487
2.01399,0.000106605
1.99988,0.000108596
1.98579,0.000110458
1.97173,0.00011219
1.95771,0.000113793
1.94371,0.000115265
1.92974,0.000116606
1.91579,0.000117816
1.90188,0.000118895
1.88799,0.000119844
1.87413,0.000120662
1.8603,0.000121351
1.84649,0.00012191
1.83272,0.00012234
1.81897,0.000122641
