x,y,theta,v
2.04884,7.97882,-1.12924,0.528084
2.06007,7.95498,-1.13084,0.527022
2.07123,7.93117,-1.1323,0.525962
2.08234,7.90739,-1.13364,0.524904
2.0934,7.88365,-1.13485,0.523848
2.10442,7.85994,-1.13596,0.522794
2.11538,7.83627,-1.13696,0.521743
2.1263,7.81264,-1.13788,0.520693
2.13718,7.78904,-1.13872,0.519645
2.14803,7.76549,-1.13948,0.5186
2.15883,7.74197,-1.14018,0.517556
2.16959,7.7185,-1.14081,0.516515
2.18032,7.69507,-1.14139,0.515476
2.19102,7.67167,-1.14192,0.514439
2.20168,7.64832,-1.1424,0.513404
2.21232,7.62501,-1.14283,0.512371
2.22292,7.60175,-1.14323,0.51134
2.23349,7.57853,-1.1436,0.510311
2.24403,7.55535,-1.14393,0.509284
2.25455,7.53221,-1.14423,0.508259
2.26503,7.50912,-1.1445,0.507236
2.27549,7.48607,-1.14475,0.506216
2.28593,7.46307,-1.14498,0.505197
2.29634,7.44011,-1.14519,0.504181
2.30672,7.41719,-1.14538,0.503166
2.31708,7.39432,-1.14555,0.502154
2.32741,7.37149,-1.14571,0.501143
2.33772,7.34871,-1.14585,0.500135
2.34801,7.32597,-1.14598,0.499129
2.35827,7.30328,-1.1461,0.498124
2.36851,7.28063,-1.14621,0.497122
2.37872,7.25802,-1.14631,0.496122
2.38892,7.23546,-1.1464,0.495123
2.39909,7.21295,-1.14648,0.494127
2.40924,7.19048,-1.14656,0.493133
2.41937,7.16805,-1.14663,0.492141
2.42947,7.14567,-1.14669,0.49115
2.43956,7.12333,-1.14675,0.490162
2.44962,7.10104,-1.1468,0.489176
2.45966,7.07879,-1.14685,0.488191
2.46968,7.05659,-1.14689,0.487209
2.47968,7.03443,-1.14693,0.486229
2.48966,7.01231,-1.14696,0.48525
2.49961,6.99024,-1.147,0.484274
2.50955,6.96821,-1.14703,0.4833
2.51947,6.94623,-1.14705,0.482327
2.52936,6.92429,-1.14708,0.481357
2.53924,6.90239,-1.1471,0.480388
2.54909,6.88054,-1.14712,0.479421
2.55893,6.85873,-1.14714,0.478457
2.56874,6.83697,-1.14716,0.477494
2.57853,6.81525,-1.14717,0.476533
2.58831,6.79357,-1.14719,0.475574
2.59806,6.77194,-1.1472,0.474617
