acceleration,angular_velocity
-0.0139467,8.69071e-05
-0.0139188,9.07736e-05
-0.013891,9.44954e-05
-0.0138633,9.80805e-05
-0.0138356,0.000101536
-0.0138079,0.000104868
-0.0137804,0.000108084
-0.0137529,0.000111187
-0.0137254,0.000114185
-0.0136981,0.00011708
-0.0136708,0.000119879
-0.0136435,0.000122583
-0.0136163,0.00011444
-0.0135891,0.000102682
-0.0135619,9.48178e-05
-0.0135347,8.57523e-05
-0.0135075,7.87327e-05
-0.0134804,7.15027e-05
-0.0134533,6.54533e-05
-0.0134263,5.95735e-05
-0.0133993,5.44483e-05
-0.0133724,4.96148e-05
-0.0133455,4.53096e-05
-0.0133186,4.13131e-05
-0.0132918,3.77126e-05
-0.0132651,3.43976e-05
-0.0132384,3.13933e-05
-0.0132118,2.86391e-05
-0.0131852,2.61351e-05
-0.0131587,2.38449e-05
-0.0131322,2.17591e-05
-0.0131058,1.98537e-05
-0.0130794,1.81168e-05
-0.0130531,1.65311e-05
-0.0130268,1.5085e-05
-0.0130006,1.37651e-05
-0.0129744,1.25611e-05
-0.0129483,1.14623e-05
-0.0129223,1.046e-05
-0.0128963,9.54525e-06
-0.0128703,8.71069e-06
-0.0128444,7.94916e-06
-0.0128186,7.25431e-06
-0.0127928,6.62026e-06
-0.012767,6.04171e-06
-0.0127414,5.51378e-06
-0.0127157,5.03205e-06
-0.0126901,4.59246e-06
-0.0126646,4.19133e-06
-0.0126391,3.82527e-06
-0.0126137,3.49124e-06
-0.0125883,3.18641e-06
-0.012563,2.90823e-06
-0.0125377,2.65438e-06
-0.0125125,2.42271e-06
-0.0124873,2.21129e-06
-0.0124622,2.01835e-06
-0.0124371,1.84227e-06
-0.0124121,1.68157e-06
-0.0123871,1.53491e-06
-0.0123622,1.40107e-06
-0.0123373,1.2789e-06
-0.0123125,1.16741e-06
-0.0122877,1.06566e-06
-0.012263,9.72784e-07
-0.0122388,-4.39688e-06
-0.0122159,-1.99011e-05
-0.0121925,-2.63289e-05
-0.0121687,-3.65978e-05
-0.0121447,-4.23645e-05
-0.0121206,-4.93255e-05
-0.0120963,-5.38787e-05
-0.012072,-5.85557e-05
-0.0120476,-6.18194e-05
-0.0120233,-6.48108e-05
-0.0119989,-6.68893e-05
-0.0119745,-6.85822e-05
-0.0119502,-6.96355e-05
-0.0119259,-7.03035e-05
-0.0119017,-7.04967e-05
-0.0118775,-7.03462e-05
-0.0118533,-6.98308e-05
-0.0118292,-6.90241e-05
-0.0118051,-6.7932e-05
-0.0117811,-6.66002e-05
-0.0117572,-6.50437e-05
-0.0117333,-6.32939e-05
-0.0117094,-6.13676e-05
-0.0116857,-5.9288e-05
-0.0116619,-5.70711e-05
-0.0116382,-5.47348e-05
-0.0116146,-5.22931e-05
-0.011591,-4.97605e-05
-0.0115675,-4.7149e-05
-0.0115441,-4.44702e-05
-0.0115207,-4.17343e-05
-0.0114973,-3.89509e-05
-0.011474,-3.61285e-05
-0.0114508,-3.3275e-05
-0.0114276,-3.03974e-05
-0.0114044,-2.75023e-05
-0.0113813,-2.45955e-05
-0.0113583,-2.16825e-05
-0.0113353,-1.87679e-05
-0.0113124,-1.58565e-05
-0.0112895,-1.2952e-05
-0.0112667,-1.00582e-05
-0.0112439,-7.17842e-06
-0.0112212,-4.31567e-06
-0.0111986,-1.47268e-06
-0.0111759,1.34807e-06
-0.0111534,4.14433e-06
-0.0111309,6.91407e-06
-0.0111084,9.65542e-06
-0.011086,1.23667e-05
-0.0110636,1.50465e-05
-0.0110413,1.76933e-05
-0.0110191,2.03059e-05
-0.0109969,2.28833e-05
-0.0109747,2.54243e-05
-0.0109526,2.79282e-05
-0.0109305,3.0394e-05
-0.0109085,3.28211e-05
-0.0108866,3.52087e-05
-0.0108647,3.75563e-05
-0.0108428,3.98633e-05
-0.010821,4.21292e-05
-0.0107992,4.43536e-05
